title,date,content
"'Bigger, better' Panagbenga to return after 2-year hiatus","DECEMBER 12, 2022","BAGUIO CITY – The Baguio Flower Festival Foundation (BFFF) and the city government launched on Monday the Panagbenga (Blooming) Festival, promising the return of ""bigger and better"" events next year.

""We will astound the world with one of the finest presentations that showcase our creativity and the very best cultural heritage,"" Mayor Benjamin Magalong said during the launch.

The festival, which started as a Baguio community event in 1995, was scrapped in 2020 while celebrations in the succeeding years were toned down due to the pandemic.

""Let Panagbenga flourish again and again as a well-spring of hope and a sense of community pride. We will again offer the richness of our tradition, the beauty of our environment, wealth and hospitality of Baguio people that can be readily offered,"" he added.

Former mayor Mauricio Domogan, lifetime chairman of the BFFF, advised the executive committee to invite festival competition winners in other provinces in the country to be part of the 2023 festival, which is a rebound of the canceled 25th year of Panagbenga in 2021.

""We hope to have them join us as contingents in the parades,"" Domogan said.

Anthony de Leon, chairman of the executive committee (Execom) also said ""the 2023 Panagbenga will be grander with all activities to be made bigger and better.""

The festival with the theme ""A renaissance of wonder and beauty"" will have institutional events like the grand street dancing parade and the float parades simultaneously happening on Feb. 25 and 26, 2023. (PNA)"
DOLE allots P73-M for quake-hit areas in Ilocos Region,"AUGUST 10, 2022","SAN FERNANDO CITY, La Union – The Department of Labor and Employment (DOLE) has allocated PHP73 million to the programs that aid workers and their families affected by the magnitude 7 earthquake that hit northern Luzon on July 27.

Related stories:
M7.0 quake hits Abra
Marcos to visit quake-hit Abra
164 schools damaged by Abra earthquake
Damage incurred from Abra earthquake exceeds P1B
In an interview on Wednesday, DOLE Ilocos Region information officer Justin Marbella said the amount is the collective total of disbursed and obligated funds for various programs, such as emergency employment, livelihood intervention, government internship, and financial assistance to displaced overseas Filipino workers (OFWs).

“Through the Tulong Panghanapbuhay sa Ating Disadvantaged/Displaced Workers (TUPAD) program with PHP11.5-million fund, the DOLE provided 15-day employment to 1,975 workers in the region, who are now tapped for post-earthquake cleaning and light repairs. They are also rendering labor in the cleaning of classrooms in time with Brigada Eskwela. Some 1,425 TUPAD workers are from Ilocos Sur, 450 from Ilocos Norte, and 100 from La Union,” he said.

Aside from the earthquake response activities, the agency also continues to implement its regular programs that aim to cushion the impact of inflation on low-income families.

In a statement, DOLE Ilocos regional director lawyer Evelyn Ramos said various programs and projects are now rolled out to address the concerns of workers, as well as employers, which arose due to the natural calamity two weeks ago.

“The DOLE Ilocos regional office is set to award livelihood starter kits to 157 skills trainees through a partnership with Technical Education and Skills Development Authority (TESDA). The starter kits worth PHP30,000 under the DOLE Integrated Livelihood Program aim to launch self-employment among TESDA NC II training graduates with their newly-acquired skills in carpentry, masonry, or electrical installation,” she said.

Various livelihood projects are also awarded to beneficiaries from Aguilar, Dagupan City, Calasiao, and Sta. Barbara in Pangasinan with a total disbursement of PHP1.8 million.

“The livelihood projects benefited farmers, persons with disabilities, lesbian, gay, bisexual, queer members, and displaced transport workers,” she added.

The DOLE also resumed the distribution of financial assistance to displaced OFWs through the Abot Kamay ang Pagtulong (AKAP) wherein some 4,752 OFWs are set to receive their aid of PHP10,000 each, with the total amount of PHP47.5 million ready for disbursement. (PNA)"
Peña elected as LMP Negros Occidental president,"AUGUST 05, 2022","PULUPANDAN town Mayor Miguel Antonio Peña was elected president of the League of Municipalities of the Philippines-Negros Occidental chapter during the election held at the Sugarland Hotel in Bacolod City Friday, August 5, 2022.

Peña, who was unopposed, expressed his gratitude to those who voted for him as their league’s president as he vowed to serve for the greater welfare of the organization.

Peña took his oath of office as mayor of Pulupandan town before Negros Occidental Gov. Eugenio Jose Lacson at the capitol on July 20 following the resignation of Mayor-elect Lorenzo Suatengco due to health reasons.

La Castellana Mayor Alme Rhummyla Nicor-Mangilimutan was elected Vice President for Operations.

Other elected officers were Cauayan Mayor John Rey Tabujara as Secretary; Pontevedra Mayor Jose Maria Alonso as Treasurer; Hinoba-an Mayor Daph Anthony Reliquias as Auditor and Isabela Mayor Irene Meriam Luz Montilla as Public Relations Officer.

Meanwhile, Candoni Mayor Ray Ruiz; Murcia Mayor Victor Gerardo Rojas and Toboso Mayor Madonnah Jaojoco were elected as directors.

Calatrava town Mayor Marilyn Era administered the oath of office of the newly elected LMP officials while LMP national office representative LMP national representative lawyer Mary Ann Devera, Representative of and Mariecelle Bello-Zamora from the Department of Interior and Local Government (DILG) attested the conduct of the election."
LGBTQ voter registration to be prioritized on July 9,"JULY 08, 2022","BAGUIO CITY – Members of the lesbian, gay, bisexual, transgender, and queer (LGBTQ) community in the city who want to register for the December barangay and Sangguniang Kabataan (SK) elections will be prioritized on July 9, the Commission on Elections said Thursday.

“To achieve an inclusive and gender-sensitive registration of voters as well as to encourage sector participation, we will conduct a special LGBTQ registration from 8:00 to 5:00 p.m. on July 9, 2022. Let us hear your voice through the ballots! Register now!,” Comelec-Baguio said in its social media post.

Baguio election supervisor John Paul Martin, however, clarified in a private message via social media on Thursday: “Hindi po siya exclusive sa kanila (The day is not exclusive to them).... We just give them special preference on Saturday.”

He also said voters can still register on Saturday even if it had been declared a holiday to commemorate Eid'l Adha.

Registration for the barangay and Sangguniang Kabataan elections, scheduled in December, runs from July 4 to 23.

Martin said the registration will continue to be done at the Comelec compound along Governor Pack Road.

“We are still negotiating with SM for another round of satellite registration,” he said.

Martin said in previous voter registrations, several voters tend to flock to the Comelec office at the last minute.

He said this year's voters' registration is not only for new registrations and reactivation of registration but also for transfer of registration and correction or change of entries in the registration. (PNA)"
"Baguio tags 5,000 pine trees being preserved at Busol watershed","JUNE 21, 2022","BAGUIO CITY – The city government has already identified and tagged 5,000 pine trees at the Busol watershed as part of its protection and conservation plans in one of the country's remaining forest reserves.

City Planning and Development officer Donna Tabangin on Tuesday said the inventory will be a major component of the ongoing preparation of the Busol Forest Management Plan, the updating of the Comprehensive Land Use Plan, and the Urban Regreening Program

“The city must include [the inventory in] its thrust to revitalize the environment and arrest urban decay,” she said.

The official said the activity started in April and is expected to be completed this June.

“To assure proper identification, the Department of Environment and Natural Resources-Watershed and Water Resources Research Development and Extension Center assisted the personnel to acquire skills on the proper tagging to avoid hurting the trees,” she said.

Tabangin said that for the trees' protection, the teams use water-based white latex paint on the lightly scraped surface of the tree trunks.

The inventory, tagging, and identification of the trees were spearheaded by the City Environment and Parks Management Office and barangays Ambiong, Brookspoint, East Bayan Park, and Pacdal that straddle the watershed’s area.

Public Information Office chief Aileen Refuerzo said in a separate interview that the Busol Forest Reserve is the largest potable water source in the city, making it one of the centerpieces of the city's environmental preservation programs.

The city also has the Eco-walk project, in which schools ""adopt"" certain areas of the reservation for their tree planting and management activities, allowing school children to experience being inside the forest and planting a tree. The Eco-walk project gave the city a UNESCO recognition in the mid-1990s.

“We tell them, water does not come from your faucets, it comes from the forest like Busol that is why there is a need to preserve and plant trees, and to protect the watershed,” Refuerzo said. (PNA)"
"Independence Day job fair in Baguio to offer over 1,000 jobs","JUNE 07, 2022","BAGUIO CITY – The city government on Monday invited job seekers to its Independence Day job fair on June 12 where over 1,200 vacancies will be offered.

In an interview on Monday, Doy Tabilog, executive assistant at the Mayor’s Office and in charge of the Public Employment and Services Office (PESO), said that as of Friday, at least 20 local companies and five overseas manpower agencies have registered to be part of the job fair at the Bishop Carlito Cenzon open gymnasium at the Saint Louis University compound.

He said other service providers like the National Bureau of Investigation, Bureau of Internal Revenue, and Social Security System will join the event so applicants could easily secure the required documents for their application.

The job fair will be done face-to-face and will include local and overseas employment opportunities.

Tabilog said the Technical Education and Skills Development Authority and the Department of Trade and Industry will also participate by providing services and information about skills and scholarship, aside from livelihood assistance and opportunities.

Prospective applicants may pre-register until June 11 at the People's Park. They can also preregister at the Department of Labor and Employment Baguio-Benguet Field Office in Cabinet Hill, the PESO at the Baguio City Hall, and the Barangay Employment Service Office (Baguio City).

Tabilog said the city government regularly conducts job and livelihood fairs not only to provide job opportunities to residents but also to keep them away from illegal activities.

“Being unemployed and without an income to provide for the family’s needs is difficult that is why we want our people to have a source of income so that they will not be prompted to go into illegal activities that will lead to self-harm or danger to their families,” he said.

He said some do know where to look for job vacancies which is why job fairs are a good activity to bring the services of the government closer to the people.

Tabilog also said that clients can also be referred to the other agencies present during the fair for possible livelihood opportunities like upskilling or reskilling for higher chances of employment or income-generating activities.

The official also said that job seekers can rest assured that the participating companies and manpower agencies are legitimate. (PNA)"
Cagayan farmers celebrate increased yellow corn yield thru harvest festival,"MAY 23, 2022","LAUNCHED in October 2021, the yellow corn project is a six-month inclusive business pilot project by Cargill Philippines and Save the Children Philippines that provides training on good agricultural practices, farming inputs, post-harvest support, and integration of farmers directly into the animal feed value chain.

Since then, 430 farmer families have benefitted from the project and showcased a higher-level of agricultural process and improved livelihood together with their school children.

Francis Samilin, a farmer beneficiary partner, said the trainings they received through the yellow corn project improved their knowledge and skills in corn farming.

“The quality of the produced corn is good. The volume of our harvest increased and our income increased. If this continues, this will help us improve our status in life and the welfare of our children, especially the younger ones, for their education,” said Samilin.

Highlights of the event included the unveiling of a visibility marker of the flatbed dryer that was repaired through the project and the official announcement of Sto. Domingo Multi-Purpose Cooperative as an accredited supplier of yellow corn to Cargill.

Since March 30, Sto. Domingo Multi-Purpose Cooperative delivered almost 314,000 kilos of corn to Cargill.

Monico Castro, chief of Field Operations Division of DA Region Field Unit 2, expressed gratitude to Cargill for helping the corn industry in the Cagayan Valley -- dubbed as the Corn Capital of the Philippines -- and transforming Philippine agriculture.

“We are very thankful to Cargill for this initiative, because given that resources are scarce, we need convergence. We need collaboration so we can implement programs in accordance with the One DA Framework: Consolidation, Modernization, Industrialization, and Professionalization,” said Castro.

The Yellow Corn project is aligned to the One DA Framework and the National Corn Program. This inclusive business project with small-holder corn farmers is the official contribution of Cargill to the Task Force Pilipinas Kontra Gutom (PKG), a multi-sectoral movement led by the private sector established to help eradicate hunger and malnutrition in the Philippines by 2030.

Cargill Philippines and Save the Children Philippines are active members of the PKG Workstream 1 – Availability and Accessibility. This project has been recognized both by the DA and PKG for its contributions in improving the productivity and lives of small-holder farmers.

Cargill Philippines hopes to replicate this program on a wider scale with more corn cooperatives in the Cagayan Valley region and even beyond.

“Empowering local farmers is key to building resilience in farming communities, as well as addressing food security challenges. Building upon the success of the Yellow Corn Project, Cargill hopes to find more value-creating opportunities for smallholder farmers as we nourish the world safely and sustainably,” said Sonny Catacutan, president of Cargill Philippines and Managing Director of Cargill Animal Nutrition and Health Philippines. (PR)"
"1,700 fisherfolk march on Earth Day to stop dredging for black sand mining in Aparri","APRIL 22, 2022","ONE thousand seven hundred fisherfolk from more than 12 barangays in Aparri marched on Friday, Earth Day, to protest black sand mining operations in the town, which they say is happening in the guise of river dredging.

This was the first time that a protest of this magnitude was organized in the town.

The fisherfolk were joined by other groups from neighboring towns of Gattaran, Ballesteros, Buguey, Gonzaga, and Sta. Ana.

A prayer service and program were held at the San Pedro Telmo Parish Church where fisherfolk shared the effects of the alleged mining operations to their livelihood and environment.

Mayoralty candidates for the 2022 elections, incumbent mayor Bryan Dale Chan, and long-time former mayor Dr. Ismael Tumaru, were in attendance to respond to their problems.

Fisherfolk report that the supposed river dredging activities produce sound, light, and chemical pollution that have gravely disturbed the ecosystem, messed with reproductive patterns of aquatic resources, decimated the fish and shrimp population, including that of the aramang or spider shrimp, which is endemic in the area.

The dwindling catch has considerably slashed the income of 11,000 fisherfolk and their families. Before the river dredging operations started in the first quarter of 2021, fisherfolk said one boat could catch up to 200 kilos of fish overnight off the coast of Aparri. Now, they would be lucky to take home three kilos of fish. They also shared that from December 2021 to April 2022, each fisherman would earn 300 to 1,000 pesos for three days’ work, a far cry from their 3,000 to 7,000 peso earnings before that period.

Aparri fisherfolk and residents reported the return of mining activity in the first quarter of 2021 with dredging seacrafts and huge sea carriers of the Chinese firm Riverfront Construction Inc. visibly operating in the Cagayan River, the Aparri delta, and the West Philippine Sea.

The Cagayan Provincial government headed by Governor Manuel N. Mamba explained that the presence of large ships is due to the ongoing large-scale dredging to desilt the Cagayan river, not only as a river rehabilitation and flood control project, but also as a necessary “enabling activity for the reopening of the Aparri port and the establishment of an international seaport.”

The project, entitled the Cagayan River Restoration Project, is headed by the Department of Environment and Natural Environment with Mamba as the convenor of an inter-agency committee that includes the Department of Public Works and Highways, Department of Transportation, and the Department of Interior and Local Government.

Mamba has also said he will resign if the people can prove there were indeed mining activities there.

But local fishermen attest that the vessels suck sand at the open sea, right at the areas where they fish, which are several kilometers from the mouth of the river, way beyond the designated dredging segments. Marine traffic tracking reveal back and forth trips of the vessels from Northern Philippines to China which, fisherfolk believe, is the end destination of the mined magnetite from the black sand. For example, Hong Chang, a bulk carrier that can haul up to 64,000 metric tons of sand material has done trips between Aparri to China at least four times since the dredging project started.

Fisherfolk and many Aparri residents also insist that the river dredging project actually brings the threat of erosion to an area that is already perennially inundated by floods brought about by strong rains and typhoons. As a flood-control project, it defeats its purpose, they said.

Mayor Chan speaking at the Earth Day program shared the RCI does not have a permit to dredge the river, but only a general engineering permit.

He also said that the project went into full swing without public hearings and proper consultation with the people. Chan reiterated his support to the fisherfolk in their fight to stop black sand mining.

Addressing government leaders, dried fish vendor Marlyne Bugarin cried, “We plead for your compassion. Our fervent hope is that disaster brought about by black sand mining be stopped. May the Lord touch your hearts so that you will feel and see our call.”

Parish priest Fr. Manuel Catral said the Earth Day event dubbed “Alay Lakad Para sa Kabuhayan, Kalikasan, Kinabukasan” was intended to be a platform for the fisherfolk to express their depressing situation to the people of Aparri and its future leaders.

“Fishing is the lifeblood of Aparri. Its people’s identities are closely anchored in its waters. The Parish of San Pedro Telmo is united with the fisherfolk in their clamor to stop ecological plunder of the river and the seas and claim their economic, social, and cultural rights,” Catral said. (PR)"
Baguio nears month sans Covid-19 deaths,"APRIL 19, 2022","BAGUIO CITY – The local government here said the city is on its 27th day without any person dying of the coronavirus disease 2019 (Covid-19).

The city’s Public Information Office chief Aileen Refuerzo said on Monday the statistics are based on the daily report of the city's Health Services Office (HSO).

“Zero deaths in Baguio City in the last 27 days”, the post on the city’s PIO social media page said on Monday morning.

The HSO report released on April 17 shows that Baguio has four active Covid-19 cases after the addition of one new case on the same day.

Records also show that the city has logged a total of 830 deaths and 41,447 total cases since the start of the pandemic in 2020.

Earlier, Dr. Rowena Galpo, chief health officer of the city government, said the low number of cases and fatalities is seen as a result of the high vaccination rate in Baguio.

As of April 13, the city’s Covid-19 vaccination record shows that 281,125 individuals have received the full dose, breaching the 281,000 target population. Meanwhile, 112,096 have received a booster dose.

The city government continues to provide vaccination services at the different rural health units covering the 128 barangays and in some drugstores in the central business district catering to locals and tourists. (PNA)"
No spike in Covid-19 cases despite Panagbenga: Baguio CHO,"APRIL 06, 2022","BAGUIO CITY – Local health officials are not seeing any signs of coronavirus disease 2019 (Covid-19) cases going up even after the Baguio Flower Festival or Panagbenga 2022 attracted thousands of tourists to the country's summer capital.

City health officer Dr. Rowena Galpo, in an interview on Tuesday, admitted that the city had expected an increase in cases when it eased restrictions in the city and when it held its famous three-week festival. However, the complete opposite seemed to have happened.

“Our vaccination rate is high and the residents are still observing the minimum public health protocols – like distancing, wearing of face mask, washing of hands, ventilation in buildings.”

She said these were the factors that contributed to the low number of cases being logged in the city despite it holding its famous three-week festival.

“Noong medyo nag-ease na tayo ng restriction, we expected na by end of February, tataas [kasi] open na tayo, nag Panagbenga tayo na nag start noon during the first week of March, the second week, the third week of March. April na tayo and we have not seen any indication of increases (When we eased our restrictions, we expected an increase in the cases by the end of February. We did the Panagbenga on the first week, the second week, the third week of March. And it is now April, we have not seen any indication of an increase in cases),” she said.

As of 6 p.m. on April 4, the city's Public Information Office posted that the city has seven active cases with an additional one case recorded on the same day. The city has recorded a total of 41,441 Covid-19 cases since the start of the pandemic in 2020.

She said that a number of residents contracting the virus since the start of the pandemic could have added to the immunity of the people, aside from a good number of them receiving the vaccine.

“Iyong kadami ng cases natin, nagkaroon na tayo ng immunity by vaccination and by having the disease which is a natural immunity. So iyon siguro ang factors. We will continue to give the vaccine,” the doctor said.

The local government earlier said the city's mega vaccination facilities will already be shut down, though vaccination at rural health units in 128 villages in Baguio and private drugstores in the central business district will continue.

As of April 4, the city government has given the first dose of the vaccine to 293,637 people; the second dose to 280,416 people, and a booster shot to 106,829 people.

Baguio is targeting to inoculate 281,000 of its adult population against Covid-19, out of the city's 366,000 total residents, based on the survey by the Philippine Statistics Authority (PSA) in 2020.

Meanwhile, some 34,470 members of the pediatric population belonging to the 12 to 17-year-old age group or 85.67 percent of the 40,238 targets have been fully vaccinated.

Among children aged 5 to 11 years old, 8,250 have been fully vaccinated out of the 46,955 eligible population.

Galpo said they still do the mobile vaccination and get the help of the barangay health workers and nutrition scholars, including officials of the barangays, in convincing those who have not received the full dose or the booster shots to be vaccinated for their protection.

“We are still doing house-to-house convincing them to get the booster shot and the vaccine for those who have not been jabbed,” she said, adding that the city targets to get a 100-percent booster vaccination rate to help the country attain a total herd immunity. (PNA)"
Panagbenga weekend draws 45K tourists amid pandemic,"MARCH 30, 2022","BAGUIO CITY – Amid a global pandemic, the Baguio Flower Festival or Panagbenga 2022 still managed to attract 45,000 tourists during its last weekend alone, much to the delight of the city government.

The city government is happy with the result of the Panagbenga 2022 or the Baguio Flower Festival that opened on March 6 and ended on the 27th which boosted the business climate in the city.

Mayor Benjamin Magalong, in a recorded interview shared by the Public Information Office to the media on Tuesday, estimated up to 22,000 visitors arrived everyday since March 25. ""Mga 40,000 to 45,000 last weekend na visitors so talagang marami (We had about 40,000 to 45,000 visitors over the weekend),” he said

“Very good [ang] business climate especially na andoon pa ang Session Road event natin (the Session road event was still there),” the mayor added.

He said they saw the bulk of tourists who arrived on March 26 triggering traffic congestion in the city's main thoroughfares.

To address traffic congestion, the mayor said they had to ask the Department of Public Works and Highways (DPWH) to temporarily remove the barricades on roads that were still deemed under construction but could already be used.

The mayor mentioned that despite the cancellation of the major crowd-drawing events like the grand street dancing and the flower float parades, the Panagbenga weekend arrivals showed the tourists' desire to be part of the annual festival of the city.

With the end of the coronavirus disease 2019 (Covid-19) pandemic in sight, he said the 2023 Panagbenga is expected to be even bigger.

The flower festival's major events were all canceled in 2020, with only very minor events that did not draw a big crowd being retained. The following year’s celebration was as simple.

This year’s festival, while simpler than the pre-pandemic celebrations, became a sought-after event with the arrival of thousands of tourists that also gave a boost to the local economy which was greatly affected by the pandemic. (PNA)"
12-hr power interruption in Ilocos Norte areas set March 31,"MARCH 30, 2022","LAOAG CITY – The National Grid Corporation of the Philippines (NGCP) on Tuesday advised consumers and the general public to brace for a 12-hour scheduled power interruption on Thursday, affecting some parts of the province.

In a public advisory, Jenny Afroilan, principal specialist of NGCP said the affected areas cover this city and the towns of Burgos, Piddig, Dingras, and Marcos from 6 a.m. to 6 p.m.

“The reason for the power interruption is due to the annual preventive maintenance and testing and corrective activities of equipment at the Laoag substation,” said Afroilan.

As frequently observed, many residents here tend to go out of their homes during a power outage to avoid heat and boredom.

Some of them are spotted on the province’s public beaches or in river resorts especially since the country’s dry season has already started.

So far, the highest recorded heat index this year has reached 53 degrees Celsius in Dagupan City, Pangasinan on March 17. (PNA)"
World-renowned Palaui Island reopens after 2 years,"MARCH 09, 2022","TUGUEGARAO CITY – The world-famous Palaui Island in Cagayan province is open again to tourists starting Tuesday after a two-year hiatus due to the pandemic.

At the height of the health crisis in 2020, the Department of Environment and Natural Resources (DENR) provided PHP1 million to fund the emergency employment of about 160 families in the island.

Officials of the DENR, Department of Tourism, Cagayan Economic Zone Authority, local government, and other members of the Protected Area Management Board (PAMB) led the ribbon-cutting ceremony to signal the reopening of the 8,048-hectare Palaui Island Protected Landscape and Seascape (PIPLS) in Barangay San Vicente, Santa Ana, according to a Facebook post.

The PAMB is the decision-making body of the PIPLS, a protected area legislated by virtue of Republic Act 11038, or the expanded protected areas system law.

DENR Region 2 Executive Director, Gwendolyn Bambalan, said the reopening of the PIPLS will boost the economy and will help the country recover from the effects of the public health emergency.

""Last year, our department initiated the improvement of facilities in PIPLS with a budget of PHP4.7 million,"" she said. ""With the influx of tourists, there should be an office dedicated to manage our environment and natural resources here.”

Two accredited boat operators’ associations, the San Vicente Motor Banca Association and Palaui San Vicente Motor Banca Association have been ferrying tourists.

The island covers 8,048 hectares with 1,008-hectare coral reefs, 472-hectare seagrasses and 102-hectare mangrove.

It became famous for hosting two seasons of the reality show “Survivor USA” and for being included in the top 10 most beautiful beaches of the world by CNN, an international broadcast network.

In 2019, the marine protected area (MPA) was awarded outstanding National Integrated Protected Area System-Marine Protected Area by the Para El Mar: MPA Awards and Recognition, a biennial event that showcases the country's best performing MPAs.

As required by the PAMB, a vaccination card must be presented upon registration while only trained and accredited guides will be allowed.

The PIPLS is within the jurisdiction of the community environment and natural resources office of Aparri, led by forester Joselito Razon. (PNA)"
Bacolod City eyes requiring negative swab test for government Apors,"JANUARY 11, 2022","THE Bacolod City Emergency Operations Center Task Force (EOC-TF) has asked Mayor Evelio Leonardia to request the National Inter-Agency Task Force (NIATF) to also require government authorized persons outside of residence (Apors) bound for the city to present negative reverse transcription-polymerase chain reaction (RT-PCR) test result regardless of their vaccination status.

Councilor Renecito Novero, chairman of the city’s quarantine center action team, said Monday, January 10, that government Apors should also present negative RT-PCR test results amid the surge in coronavirus disease (Covid-19) cases.

Due to the continued spread of the Omicron variant of Sars-Cov-2, which causes Covid-19, the City Government earlier required all travelers bound for Bacolod City to present a negative RT-PCR test result effective January 9, 2022.

In an executive order (EO) issued by Mayor Evelio Leonardia, such a requirement covers travelers coming from areas classified under Alert Level 3 in terms of Covid-19 transmission whether they are vaccinated or not.

The RT-PCR test should be taken within 72 hours prior to and upon arrival in Bacolod City.

Aside from the negative RT-PCR test, travelers are still required to present BaCTrac registration, Safe, Swift and Smart Passage (S-Pass), vaccination card and identification cards.

The EO stated that all government officials or public sector personnel on official business shall be allowed unimpeded travel into Bacolod City from any area regardless of the alert level status, provided that they comply with the vaccination mandate under NIATF Resolution No. 148-B, Series of 2021, dated November 11, 2021.

They must also present a valid ID issued by their respective government agencies; vaccination card/ID showing when they were fully vaccinated and/or have undergone a booster dose.

“Those who are only partially vaccinated or are still unvaccinated shall present their negative RT-PCR test result,” it added.

Among other requirements for government officials and workers included presentation of an original/certified true copy of their travel order/authority issued by the head of their agency or by his/her authorized superior; symptom screening at the airport or seaport upon arrival; and strict compliance with existing minimum public health standards.

Novero, however, said government Apors should also be included because they might also be carriers of the virus.

“We recorded a double-digit of Covid-19 cases, so it’s better to prevent than cure,” he said.

The official said he is planning to pass a resolution on Wednesday’s regular session to implement this measure.

Novero noted that this plan was discussed during their huddle meeting on Sunday, January 9, along with the members of the EOC-TF.

Meanwhile, Novero said he will also ask Leonardia to renew the contract of services of the healthcare workers including the doctors, nurses and contact tracers who were earlier hired by the city.

He said their contract of services expired on December 31, 2021.

“We need to renew their contract of services because we have a surge of Covid-19 cases. We should be ready for any eventuality,” he added."
2 firecracker injuries end Baguio's 2-year zero case feat,"JANUARY 04, 2022","BAGUIO CITY – The City Epidemiology and Surveillance Unit (CESU) here said the feat of having zero firecracker-related injuries in the last two consecutive years was ended by two cases recorded as the country welcomed the new year.

In a phone interview on Monday, Aileen Refuerzo, chief information officer of the city government, said based on the report of the CESU under the Health Services Office, two persons were treated for injuries in the face and head on January 1.

She said the patients, both female, aged 34 and 43, sustained injuries caused by ""kwitis"".

She added that both cases were passive victims, meaning they were not the ones handling the firecracker that caused their injuries.

Refuerzo said the two were sent home after receiving emergency treatment in a medical facility here.

She recalled that the city did not have a firecracker-related injury in 2019 and 2020 during the period of surveillance from December 16 to January 6.

While the city government has not passed an ordinance banning the use of firecrackers, it has been implementing a total ban on the sale of firecrackers since the year 2000, which has helped lessen it not totally avoid firecracker-related injuries.

However, the city has been conducting a new year countdown and an organized fireworks display at Burnham Park, which is among the city’s open spaces where the fireworks are visible in many villages of Baguio. (PNA)"
Baguio to welcome New Year with community fireworks display,"DECEMBER 31, 2021","BAGUIO CITY – The city government has organized a community fireworks display to greet the New Year to discourage the use of firecrackers among the public.

City Information Office chief Aileen Refuerzo, in a phone interview on Friday, said the fireworks display and picnic at Burnham Park are among the two city-initiated activities for the holiday season.

The fireworks display will start at 9 p.m. until midnight.

She added that for several years now, the city has been conducting a fireworks display as a way to discourage households from lighting their own and prevent possible accidents aside from minimizing smoke emission in all areas of the city.

The fireworks display will have several sites and can be viewed in many villages of the city, preventing people from flocking at Burnham Park.

She also cautioned tourists coming to the city that Baguio has issued a ban on the sale and use of firecrackers.

""Bawal po. Sana huwag na silang magdala ng paputok pag pumunta dito dahil bawal po (It is not allowed. We urge them not to bring firecrackers when they come),"" she said.

The city started a ban on the sale and use of firecrackers in early 2000 under an executive order which is sustained pending the passage of an ordinance. Instead, the city holds a community fireworks display.

Refuerzo also encouraged tourists to enjoy the clean, cool and tranquil Baguio in greeting the New Year.

""Masarap po na batiin ang pagdating ng bagong taon na malinis ang hangin na nilalanghap. Magpa-ingay na lang po tayo na hindi nagpapaputok marami naman ibang paraan na safe (It is nice to greet the new year while breathing clean air. We can create noise that will not expose us to danger and that includes even if we do not light a firecracker),"" she said.

Aside from avoiding firecrackers, she also reminded those who will still come to the city to follow the entry protocols for tourists to avoid inconvenience.

“We have a daily limit and that is counted from the issuance of a quick response travel permit (QTP) generated when registering in the online portal for visitors. If they do not have it, they will be asked to return to their destination,"" she said. (PNA)"
Baguio sends P5-M aid to 44 typhoon-hit LGUs,"DECEMBER 31, 2021","BAGUIO CITY – The city government has sent a PHP5-million donation to 44 municipalities affected by Typhoon Odette in the Visayas and Mindanao.

Acting Mayor Faustino Olowan said in a phone interview on Thursday that the city's assistance was approved before Christmas and immediately sent to the local government units (LGUs).

The local finance committee issued a certificate of availability of funds for the financial aid, which was sourced from the Disaster Risk Reduction and Management Office’s Quick Response Fund of the city’s 2021 annual budget.

""It is our way of helping alleviate the sufferings of our brothers affected by the typhoon,"" Olowan said.

He said the 44 towns will either get PHP100,000 or PHP200,000 which was based on the number of affected families and damaged houses and their income classifications.

The following LGUs will receive PHP100,000 each: Libertad and Tibiao in Antique; President Roxas and Dao in Capiz; Banate, Lemery and Balasan in Iloilo; Valladolid in Negros Occidental; Sagay in Camiguin; Anda, Maribojoc and Candijay in Bohol; San Julian, Maslog, Lawaan, Maydolong, Mercedes, General MacArthur, Balangiga, and Sulat in Eastern Samar; Tagapul-an in Samar; Liloan, Anahawan, Hinundayan, and Saint Bernard in Southern Leyte; Santiago and Magallanes in Agusan del Norte; Gigaquit, Placer, Socorro, Tagana-an, Alegria, Mainit, San Isidro, San Agustin, Carmen and Carrascal, all in Surigao del Norte, and Surigao City in Siargao.

The towns that will receive PHP200,000 are Buruanga, Aklan; Sigma, Capiz; Silago, Southern Leyte; Kitcharao, Agusan del Norte; and Bacuag and Malimono in Surigao del Norte.

The mayor advised city residents who would like to donate for the victims to coordinate with the City Social Welfare and Development Office.

He also thanked the Hotels and Restaurant Association of Baguio for donating additional relief goods.

Several sectors of the community continue to raise resources for the victims of the recent typhoon that left vast damage to many areas in Visayas and Mindanao. (PNA)"
